Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Классические задачи Computer Science на языке Java,,Питер:Библиотека программиста,1254,1568,20,На складе
Head First. Паттерны проектирования,,Питер:Head First (O'Reilly),1680,2100,20,На складе
"Дизайн пользовательского опыта. Как создать продукт, который ждут",,"Манн, Иванов и Фербер:Серия O Reilly",1008,1292,22,На складе
Дружеское знакомство с тестированием программ,Лабун Билл,BHV,706,882,20,На складе
JavaScript. Дополнительные уроки для начинающих,Дронов Валерий Александрович,BHV:Для Начинающих,728,910,20,На складе
"Новые возможности Arduino, ESP, Raspberry Pi в проектах IoT",Петин Виктор Александрович,BHV:Электроника,549,686,20,На складе
Алгоритмы. Теория и практическое применение,Стивенс Род,Эксмо:Мировой компьютерный бестселлер,985,1263,22,На складе
Апокалипсис криптографии. Подготовка криптографии к квантовым вычислениям,Граймс Роджер А.,ДМК-Пресс,1359,1699,20,На складе
"{Вы пока еще не знаете JS} Познакомьтесь, JavaScript",Симпсон Кайл,Питер:Библиотека программиста,910,1138,20,На складе
{Вы пока еще не знаете JS}. Область видимости и замыкания,Симпсон Кайл,Питер:Библиотека программиста,967,1209,20,На складе
Паттерны программирования игр,Нистрем Роберт,Бомбора:Мировой компьютерный бестселлер,1232,1579,22,На складе
Эффективный C. Профессиональное программирование,Сикорд Роберт С.,Питер:Библиотека программиста,1507,1884,20,На складе
React. Современные шаблоны для разработки приложений,"Бэнкс Алекс, Порселло Ева",Питер:Бестселлеры O`Reilly,1577,1971,20,На складе
JavaScript. Обработка событий на примерах. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,2110,2638,20,На складе
Анализируем данные в Microsoft Power BI. Подготовка к экзамену DA-100,Маслюк Даниил,ДМК-Пресс,1510,1888,20,На складе
Программирование на PHP в примерах и задачах,Васильев Алексей,Эксмо-Пресс:Российский компьютерный бестселлер,771,988,22,На складе
Статистический анализ экспериментальных данных в пакетах MathCAD и Excel,Воскобойников Юрий Евгеньевич,Лань:Компьютеры и программное обеспечение,1749,2186,20,На складе
Инженерные расчеты. Книга-билингва. Учебное пособие,Очков Валерий Федорович и др.,Лань:Компьютеры и программное обеспечение,2862,3577,20,На складе
Системы искусственного интеллекта. Моделирование нейронных сетей в системе MATLAB. Лабораторный пр.,"Романов Петр Сергеевич, Романова Ирина Петровна",Лань:Компьютеры и программное обеспечение,1114,1392,20,На складе
JavaScript. Обработка событий на примерах. Учебное пособие для СПО,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1909,2386,20,На складе
Компьютерное моделирование автоматизации технологических процессов и производств. Практикум. СПО,Алексеев Владимир Анатольевич,Лань:Компьютеры и программное обеспечение,1749,2186,20,На складе
Ghidra. Полное руководство,"Игл Крис, Нэнс Кара",ДМК-Пресс,3101,3876,20,На складе
Изучаем WinUI 3.0,Эшкрафт Элвин,ДМК-Пресс,1632,2040,20,На складе
JavaScript для профессиональных веб-разработчиков,Фрисби Мэтт,Питер:Для профессионалов,2818,3522,20,На складе
Осваиваем Ethereum. Создание смарт-контрактов и децентрализованных приложений,"Антонопулос Андреас М., Вуд Гэвин",Бомбора:Мировой компьютерный бестселлер,1726,2213,22,На складе
SQL за 10 минут,Форта Бен,Вильямс,1382,1728,20,На складе
Облачные архитектуры. Разработка устойчивых и экономичных облачных приложений,Лащевски Том и др.,Питер:Библиотека программиста,1267,1584,20,На складе
Делай как в Google. Разработка программного обеспечения,Винтерс Титус и др.,Питер:Бестселлеры O`Reilly,2302,2877,20,На складе
