Model;Price with NDS;Price without NDS;Stok;LINK
USW-Enterprise-24-PoE;2,920.60AZN;ЖЏDV xaric: 2,475.08AZN;Stokda var;https://www.compusale.az/index.php?route=product/product&path=85_86_189&product_id=993
USW-Flex-3;819.40AZN;ЖЏDV xaric: 694.41AZN;Stokda var;https://www.compusale.az/index.php?route=product/product&path=85_86_189&product_id=897
USW-Flex-Mini;91.80AZN;ЖЏDV xaric: 77.80AZN;Məlumat yoxdur;https://www.compusale.az/index.php?route=product/product&path=85_86_189&product_id=798
USW-Flex-Mini-3;255.00AZN;ЖЏDV xaric: 216.10AZN;Stokda var;https://www.compusale.az/index.php?route=product/product&path=85_86_189&product_id=898
USW-Flex-Mini-5 ;414.80AZN;ЖЏDV xaric: 351.53AZN;Stokda var;https://www.compusale.az/index.php?route=product/product&path=85_86_189&product_id=899
USW-Pro-48-POE;3,201.10AZN;ЖЏDV xaric: 2,712.80AZN;Stokda var;https://www.compusale.az/index.php?route=product/product&path=85_86_189&product_id=724
USW-Lite-8-POE;328.10AZN;ЖЏDV xaric: 278.05AZN;Stokda var;https://www.compusale.az/index.php?route=product/product&path=85_86_189&product_id=912
US-48-750W;2,805.00AZN;ЖЏDV xaric: 2,377.12AZN;Məlumat yoxdur;https://www.compusale.az/index.php?route=product/product&path=85_86_189&product_id=442
US-24-250W;1,179.80AZN;ЖЏDV xaric: 999.83AZN;Stokda var;https://www.compusale.az/index.php?route=product/product&path=85_86_189&product_id=443
US-16-150W;856.80AZN;ЖЏDV xaric: 726.10AZN;Stokda var;https://www.compusale.az/index.php?route=product/product&path=85_86_189&product_id=524
US-8-150W;584.80AZN;ЖЏDV xaric: 495.59AZN;Stokda var;https://www.compusale.az/index.php?route=product/product&path=85_86_189&product_id=526
USW-Pro-24-POE;2,034.90AZN;ЖЏDV xaric: 1,724.49AZN;Stokda var;https://www.compusale.az/index.php?route=product/product&path=85_86_189&product_id=503
USW-24-POE;1,113.50AZN;ЖЏDV xaric: 943.64AZN;Məlumat yoxdur;https://www.compusale.az/index.php?route=product/product&path=85_86_189&product_id=505
USW-16-POE;1,179.80AZN;ЖЏDV xaric: 999.83AZN;Stokda var;https://www.compusale.az/index.php?route=product/product&path=85_86_189&product_id=506
USW-FLEX;297.50AZN;ЖЏDV xaric: 252.12AZN;Məlumat yoxdur;https://www.compusale.az/index.php?route=product/product&path=85_86_189&product_id=509
US-8-5;1,441.60AZN;ЖЏDV xaric: 1,221.69AZN;Stokda var;https://www.compusale.az/index.php?route=product/product&path=85_86_189&product_id=516
US-8-60W-5;1,581.00AZN;ЖЏDV xaric: 1,339.83AZN;Stokda var;https://www.compusale.az/index.php?route=product/product&path=85_86_189&product_id=521
US-16-XG;1,611.60AZN;ЖЏDV xaric: 1,365.76AZN;Stokda var;https://www.compusale.az/index.php?route=product/product&path=85_86_189&product_id=536
US-XG-6POE;1,730.60AZN;ЖЏDV xaric: 1,466.61AZN;Stokda var;https://www.compusale.az/index.php?route=product/product&path=85_86_189&product_id=537
US-24;591.60AZN;ЖЏDV xaric: 501.36AZN;Stokda var;https://www.compusale.az/index.php?route=product/product&path=85_86_189&product_id=540
US-48;1,145.80AZN;ЖЏDV xaric: 971.02AZN;Stokda var;https://www.compusale.az/index.php?route=product/product&path=85_86_189&product_id=541
US-8;292.40AZN;ЖЏDV xaric: 247.80AZN;Stokda var;https://www.compusale.az/index.php?route=product/product&path=85_86_189&product_id=542
US-8-60W;329.80AZN;ЖЏDV xaric: 279.49AZN;Stokda var;https://www.compusale.az/index.php?route=product/product&path=85_86_189&product_id=543
US-48-500W;2,308.60AZN;ЖЏDV xaric: 1,956.44AZN;Stokda var;https://www.compusale.az/index.php?route=product/product&path=85_86_189&product_id=547
US-24-500W;1,581.00AZN;ЖЏDV xaric: 1,339.83AZN;Stokda var;https://www.compusale.az/index.php?route=product/product&path=85_86_189&product_id=548
