Menzil;Elanin Tarixi;Giymet;Link
2-otaqlı mənzil, İsmayıl Məmmədov küç., 50 m²;Bakı,3 Sentyabr ;83 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-ismayil-memmedov-kuec-50-m2-95213/
3-otaqlı mənzil , Maştağa qəs., 45 m²;Bakı,Bu gün, 1:08 ;Elanı VIP etmək;#
3-otaqlı mənzil , Maştağa qəs., 45 m²;Bakı,Bu gün, 1:08 ;43 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-mastaga-qes-45-m2-99945/
4-otaqlı mənzil , Nərimanov r., 164 m²;Bakı,11 Sentyabr ;245 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-nerimanov-r-164-m2-99910/
2-otaqlı mənzil , Yasamal r. , 106 m²;Bakı,11 Sentyabr ;220 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-yasamal-r-106-m2-99899/
3-otaqlı mənzil , Yasamal r. , 98 m²;Bakı,11 Sentyabr ;235 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-yasamal-r-98-m2-99897/
3-otaqlı mənzil , Yasamal r. , 140 m²;Bakı,11 Sentyabr ;270 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-yasamal-r-140-m2-99895/
3-otaqlı mənzil , Adil Məmmədov küç., 90 m²;Bakı,11 Sentyabr ;125 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-adil-memmedov-kuec-90-m2-99894/
2-otaqlı mənzil , Nərimanov r., 108 m²;Bakı,11 Sentyabr ;205 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-nerimanov-r-108-m2-99892/
3-otaqlı mənzil , Nəsimi r., 123 m²;Bakı,11 Sentyabr ;242 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-nesimi-r-123-m2-99890/
3-otaqlı mənzil , Xətai r., 141 m²;Bakı,11 Sentyabr ;279 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-xetai-r-141-m2-99886/
3-otaqlı mənzil , Nərimanov r., 147 m²;Bakı,11 Sentyabr ;205 800 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-nerimanov-r-147-m2-99882/
3-otaqlı mənzil , Heydər Əliyev pr., 84 m²;Bakı,11 Sentyabr ;90 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-heyder-eliyev-pr-84-m2-99879/
3-otaqlı mənzil , Xətai r., 165 m²;Bakı,11 Sentyabr ;280 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-xetai-r-165-m2-99878/
2-otaqlı mənzil , Mircəlal küç., 50 m²;Bakı,11 Sentyabr ;65 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-mircelal-kuec-50-m2-99876/
2-otaqlı mənzil , Əvəz Şəfiyev küç.., 60 m²;Xırdalan,11 Sentyabr ;42 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-evez-sefiyev-kuec-60-m2-99872/
3-otaqlı mənzil , Ramiz Quliyev küç., 135 m²;Bakı,11 Sentyabr ;180 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-ramiz-quliyev-kuec-135-m2-99854/
4-otaqlı mənzil , Rəşad Qafur küç., 200 m²;Bakı,11 Sentyabr ;550 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-resad-qafur-kuec-200-m2-99828/
4-otaqlı mənzil , Sabit Rəhman küç., 175 m²;Bakı,11 Sentyabr ;340 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-sabit-rehman-kuec-175-m2-99808/
2-otaqlı mənzil , Ağa Neymətulla küç.179, 100 m²;Bakı,11 Sentyabr ;165 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-aga-neymetulla-kuec179-100-m2-99807/
4-otaqlı mənzil , Məmməd Araz küç., 174 m²;Bakı,11 Sentyabr ;350 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-memmed-araz-kuec-174-m2-99794/
4-otaqlı mənzil , Ceyhun Hacıbəyli küç., 212 m²;Bakı,11 Sentyabr ;425 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-ceyhun-hacibeyli-kuec-212-m2-99781/
2-otaqlı mənzil , Azadliq pr.86, 97 m²;Bakı,11 Sentyabr ;164 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-azadliq-pr86-97-m2-99780/
4-otaqlı mənzil icarəyə verilir, Səməd Vurğun küç., 190 m²;Bakı,11 Sentyabr ;1 600 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-icareye-verilir-semed-vurgun-kuec-190-m2-99771/
3-otaqlı mənzil , Zahid Xəlilov küç., 98 m²;Bakı,11 Sentyabr ;210 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-zahid-xelilov-kuec-98-m2-99769/
3-otaqlı mənzil , Nəsimi r., 124 m²;Bakı,11 Sentyabr ;227 500 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-nesimi-r-124-m2-99762/
2-otaqlı mənzil , Mirəli Seyidov küç., 105 m²;Bakı,11 Sentyabr ;188 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-mireli-seyidov-kuec-105-m2-99759/
4-otaqlı mənzil , Nəsimi r. , 161 m²;Bakı,11 Sentyabr ;210 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-nesimi-r-161-m2-99755/
2-otaqlı mənzil , Nəsimi r. , 106 m²;Bakı,11 Sentyabr ;215 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-nesimi-r-106-m2-99729/
3-otaqlı mənzil , Nərimanov r., 135 m²;Bakı,11 Sentyabr ;238 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-nerimanov-r-135-m2-99725/
4-otaqlı mənzil , Yasamal r., 182 m²;Bakı,11 Sentyabr ;230 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-yasamal-r-182-m2-99721/
