Unvan;Elanın növü;Binanın növü;Qəsəbə:;Rayon:;Elanı yerləşdirən:;Mərtəbə sayı:;Mərtəbə:;Otaqların sayı:;Sənəd:;Giymət:;LINK:
Üzeyir Həcibəyov küç;Günlük icarəyə verilir;Köhnə tikili;Qeyd olunmayıb;('Səbail',);Mülkiyyətçi;5;2;2;Çıxarış ;40 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-guenluek-icareye-verilir-uezeyir-hecibeyov-kuec-5456-74-m2-40782/
Xırdalan ş.;Satılır;Yeni tikili;geyd olunmayib;geyd olunmayib;Vasitəçi;17;3;2;Müqavilə ;28 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-xirdalan-s-62-m2-98585/
İsmayıl Məmmədov küç.;Satılır;Köhnə tikili;8-ci kilometr;('Nizami',);Mülkiyyətçi;9;1;2;Çıxarış ;83 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-ismayil-memmedov-kuec-50-m2-95213/
Xırdalan ş.;Satılır;Yeni tikili;geyd olunmayib;geyd olunmayib;Vasitəçi;11;5;3;Çıxarış ;47 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-xirdalan-s-55-m2-98580/
Hənifə Ələsgərov küç.;İcarəyə verilir;Yeni tikili;Qeyd olunmayıb;('Nəsimi',);Vasitəçi;18;8;3;Çıxarış ;1 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-icareye-verilir-henife-elesgerov-kuec-130-m2-104229/
Yeni Günəşli qəs.;Satılır;Yeni tikili;Yeni Günəşli;('Suraxanı',);Mülkiyyətçi;12;5;2;Müqavilə ;28 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-yeni-guenesli-qes-46-m2-104172/
Xırdalan ş.;Satılır;Yeni tikili;geyd olunmayib;geyd olunmayib;Vasitəçi;7;7;2;Müqavilə ;35 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-xirdalan-s-41-m2-104224/
Həsən Bəy Zərdabi küç.;Satılır;Yeni tikili;Qeyd olunmayıb;('Yasamal',);Vasitəçi;18;18;3;Çıxarış ;170 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-hesen-bey-zerdabi-kuec-134-m2-104216/
20 Yanvar küç.;Satılır;Köhnə tikili;3-cü mkr.;('Nəsimi',);Vasitəçi;5;3;2;Çıxarış ;80 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-20-yanvar-kuec-50-m2-104215/
Hüseyn Cavid pr.;Satılır;Yeni tikili;Qeyd olunmayıb;('Yasamal',);Vasitəçi;19;5;2;Müqavilə ;190 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-hueseyn-cavid-pr-119-m2-104210/
Həzi Aslanov m/st.;Satılır;Yeni tikili;Qeyd olunmayıb;('Xətai',);Vasitəçi;17;7;2;Çıxarış ;102 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-hezi-aslanov-mst-62-m2-104205/
8 Noyabr pr.;Satılır;Köhnə tikili;Qeyd olunmayıb;('Xətai',);Vasitəçi;7;4;3;Çıxarış ;180 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-8-noyabr-pr-70-m2-104202/
Cəfər Cabbarlı küç.;Satılır;Yeni tikili;Qeyd olunmayıb;('Yasamal',);Vasitəçi;16;5;5;Çıxarış ;340 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/5-otaqli-menzil-satilir-cefer-cabbarli-kuec-200-m2-104196/
Mirmahmud Kazımovski küç.;Satılır;Köhnə tikili;4-cü mkr.;('Nəsimi',);Vasitəçi;5;4;2;Çıxarış ;92 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-mirmahmud-kazimovski-kuec-65-m2-104183/
Xırdalan ş.;Satılır;Yeni tikili;geyd olunmayib;geyd olunmayib;Vasitəçi;11;8;2;Müqavilə ;73 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-xirdalan-s-71-m2-104181/
Həsən Bəy Zərdabi küç.;Satılır;Yeni tikili;Yeni Yasamal qəs.;('Yasamal',);Mülkiyyətçi;19;18;1;Müqavilə ;73 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/1-otaqli-menzil-satilir-hesen-bey-zerdabi-kuec-606-m2-104174/
Mirmahmud Kazımovski küç.;Satılır;Köhnə tikili;4-cü mkr.;('Nəsimi',);Vasitəçi;9;6;2;Çıxarış ;75 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-mirmahmud-kazimovski-kuec-45-m2-104169/
Xırdalan ş.;Satılır;Yeni tikili;geyd olunmayib;geyd olunmayib;Vasitəçi;7;5;3;Müqavilə ;95 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-xirdalan-s-93-m2-104165/
Gəncə pr.;Satılır;Yeni tikili;Əhmədli;('Xətai',);Vasitəçi;20;8;2;Müqavilə ;122 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-gence-pr-81-m2-104150/
9-ci mkr.;Satılır;Köhnə tikili;9-cu mkr.;('Binəqədi',);Mülkiyyətçi;5;1;3;Çıxarış ;102 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-9-ci-mkr-65-m2-104139/
Əhmədli qəs.;Satılır;Yeni tikili;Əhmədli;('Xətai',);Vasitəçi;16;6;3;Çıxarış ;173 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-ehmedli-qes-157-m2-104134/
Nəsrəddin Tusi küç.;Satılır;Yeni tikili;Əhmədli;('Xətai',);Vasitəçi;16;4;1;Çıxarış ;85 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/1-otaqli-menzil-satilir-nesreddin-tusi-kuec-72-m2-104133/
 Bakıxanov qəs.;Satılır;Yeni tikili;Bakıxanov;('Sabunçu',);Mülkiyyətçi;6;4;2;Çıxarış ;85 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-bakixanov-qes-104125/
Süleyman Vəzirov küç.;Satılır;Yeni tikili;Ağ şəhər;('Xətai',);Vasitəçi;8;2;2;Müqavilə ;143 115 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-sueleyman-vezirov-kuec-98-m2-104122/
20 Yanvar küç. 24;Satılır;Yeni tikili;5-ci mkr.;('Nəsimi',);Vasitəçi;2;16;3;Müqavilə ;124 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-20-yanvar-kuec-24-85-m2-104061/
Süleyman Sani Axundov küç.;İcarəyə verilir;Köhnə tikili;7-ci mkr.;('Binəqədi',);Mülkiyyətçi;5;3;2;Digər ;230 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-sueleyman-sani-axundov-kuec-24-m2-104030/
Sumqayıt ş.;Satılır;Köhnə tikili;geyd olunmayib;geyd olunmayib;Mülkiyyətçi;3;1;3;Çıxarış ;50 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-sumqayit-s-76-m2-103994/
Həsən Əliyev küç.197;Satılır;Yeni tikili;Qeyd olunmayıb;('Nəsimi',);Vasitəçi;21;17;3;Çıxarış ;197 600 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-hesen-eliyev-kuec197-152-m2-103984/
Xırdalan ş.;Satılır;Yeni tikili;Qeyd olunmayıb;('Abşeron',);Mülkiyyətçi;6;1;2;Çıxarış ;57 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-xirdalan-s-47-m2-103970/
Seid Əzim Şirvani küç.;Satılır;Köhnə tikili;Əhmədli;('Xətai',);Vasitəçi;9;7;4;Çıxarış ;110 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-seid-ezim-sirvani-kuec-100-m2-103963/
Məzahir Rüstəmov küç.;Satılır;Köhnə tikili;Əhmədli;('Xətai',);Vasitəçi;1;1;1;Çıxarış ;37 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/1-otaqli-menzil-satilir-mezahir-ruestemov-kuec-18-m2-103933/
 D yaşayış massivi;Satılır;Yeni tikili;Yeni Günəşli;('Suraxanı',);Mülkiyyətçi;5;7;2;Çıxarış ;86 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-yeni-guenesli-qes-69-m2-103916/
Həzi Aslanov m/st.;Satılır;Yeni tikili;Qeyd olunmayıb;('Xətai',);Vasitəçi;16;8;2;Çıxarış ;92 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-hezi-aslanov-mst-56-m2-103911/
Maqsud Əlizadə küç.;Satılır;Köhnə tikili;Qeyd olunmayıb;('Nərimanov',);Vasitəçi;4;2;3;Çıxarış ;115 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-maqsud-elizade-kuec-64-m2-103873/
Xırdalan ş.;Satılır;Köhnə tikili;geyd olunmayib;geyd olunmayib;Mülkiyyətçi;5;5;2;Çıxarış ;41 500 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-xirdalan-s-46-m2-103820/
Sumqayıt ş.;Satılır;Yeni tikili;geyd olunmayib;geyd olunmayib;Mülkiyyətçi;14;13;3;Çıxarış ;135 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-sumqayit-s-1235-m2-103757/
Xırdalan ş.;Satılır;Yeni tikili;geyd olunmayib;geyd olunmayib;Vasitəçi;14;11;2;Müqavilə ;63 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-xirdalan-s-70-m2-103754/
Xutor qəs.;Satılır;Yeni tikili;Xutor;('Binəqədi',);Mülkiyyətçi;15;10;2;Müqavilə ;95 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-xutor-qes-80-m2-103751/
Həsən Bəy Zərdabi küç.;Satılır;Yeni tikili;Qeyd olunmayıb;('Yasamal',);Vasitəçi;19;13;3;Çıxarış ;170 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-hesen-bey-zerdabi-kuec-115-m2-103739/
Gəncə pr.;Satılır;Köhnə tikili;Həzi Aslanov;('Xətai',);Mülkiyyətçi;9;5;2;Çıxarış ;53 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-gence-pr-47-m2-103722/
Masazır qəs.;Satılır;Yeni tikili;Masazır;('Abşeron',);Mülkiyyətçi;9;7;1;Müqavilə ;40 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/1-otaqli-menzil-satilir-masazir-qes-57-m2-103721/
Xətai m/st.;İcarəyə verilir;Yeni tikili;Qeyd olunmayıb;('Xətai',);Vasitəçi;20;18;3;Çıxarış ;1 200 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-icareye-verilir-xetai-mst-110-m2-103717/
Ağa Nemətulla küç. 35;İcarəyə verilir;Yeni tikili;Qeyd olunmayıb;('Nərimanov',);Vasitəçi;16;16;2;Çıxarış ;700 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-aga-nemetulla-kuec-35-70-m2-103715/
Xan Şuşinskiy küç.;Satılır;Yeni tikili;Qeyd olunmayıb;('Nərimanov',);Vasitəçi;15;12;3;Çıxarış ;240 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-xan-susinskiy-kuec-103701/
Nəsimi r.;Satılır;Yeni tikili;Badamdar;('Səbail',);Vasitəçi;18;7;4;Çıxarış ;350 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/4-otaqli-menzil-satilir-nesimi-r-167-m2-103700/
N.Tusi küç.;Satılır;Köhnə tikili;Əhmədli;('Xətai',);Vasitəçi;9;6;3;Çıxarış ;92 800 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-ntusi-kuec-70-m2-103671/
N.Tusi küç.;Satılır;Yeni tikili;Əhmədli;('Xətai',);Vasitəçi;17;10;3;Çıxarış ;117 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-ntusi-kuec-111-m2-103633/
Xalqlar Dostluğu m/st.;Satılır;Köhnə tikili;8-ci kilometr;('Nizami',);Vasitəçi;5;1;3;Çıxarış ;90 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-xalqlar-dostlugu-mst-75-m2-103618/
Aşıq Molla Cümə küç. 9v;İcarəyə verilir;Yeni tikili;Qeyd olunmayıb;('Nərimanov',);Vasitəçi;11;10;3;Çıxarış ;600 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-icareye-verilir-asiq-molla-cueme-kuec-9v-135-m2-103616/
Elçin Əzizov küç.;Satılır;Yeni tikili;geyd olunmayib;geyd olunmayib;Mülkiyyətçi;17;9;3;Çıxarış ;192 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/3-otaqli-menzil-satilir-elcin-ezizov-kuec-132-m2-103614/
Xırdalan ş.;Satılır;Yeni tikili;geyd olunmayib;geyd olunmayib;Vasitəçi;7;5;2;Çıxarış ;19 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-xirdalan-s-45-m2-103612/
Heydər Əliyev pr.;Satılır;Yeni tikili;geyd olunmayib;geyd olunmayib;Vasitəçi;12;2;2;Çıxarış ;55 000 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-satilir-heyder-eliyev-pr-60-m2-103586/
20 Yanvar m\st.;İcarəyə verilir;Yeni tikili;geyd olunmayib;geyd olunmayib;Vasitəçi;18;8;2;Çıxarış ;500 AZN;https://tut.az/dasinmaz-emlak/ev-alqi-satqisi/2-otaqli-menzil-icareye-verilir-20-yanvar-mst-70-m2-103563/
